full_name,resale_price,registered_year,engine_capacity,insurance,transmission_type,kms_driven,owner_type,fuel_type,seats,mileage,body_type,city,registered_year_Imputation,km_group,max_power_clean_bhp,mileage_number,mileage_unit,boxcox_resale_price
2017 Maruti Baleno 1.2 Alpha,6059.22,2017.0,1197.0,Third Party,Manual,40000.0,First Owner,Petrol,5.0,21.4 kmpl,Hatchback,Agra,2017.0,20k-60k,83.0,21.4,kmpl,3.3885815223179967
2018 Tata Hexa XTA,11117.84,2018.0,2179.0,Third Party,Automatic,70000.0,First Owner,Diesel,7.0,17.6 kmpl,MUV,Agra,2018.0,60k-100k,153.0,17.6,kmpl,3.4438400174107544
2015 Maruti Swift Dzire VXI,5003.03,2015.0,1197.0,Third Party,Manual,70000.0,Second Owner,Petrol,5.0,20.85 kmpl,Sedan,Agra,2015.0,60k-100k,83.0,20.85,kmpl,3.369209010798171
2009 Hyundai i10 Magna 1.1,2167.98,2009.0,1086.0,Third Party,Manual,80000.0,First Owner,Petrol,5.0,19.81 kmpl,Hatchback,Agra,2009.0,60k-100k,68.0,19.81,kmpl,3.2720495782982733
2015 Hyundai i20 Active 1.2,5225.38,2015.0,1197.0,Third Party,Manual,70000.0,First Owner,Petrol,5.0,17.19 kmpl,Hatchback,Agra,2015.0,60k-100k,81.0,17.19,kmpl,3.3736940634211856
2017 Tata Tiago 1.05 Revotorq XZ,4002.42,2017.0,1047.0,Third Party,Manual,120000.0,First Owner,Diesel,5.0,27.28 kmpl,Hatchback,Agra,2017.0,100k+,69.0,26.0,kmpl,3.345358957272423
2010 Hyundai i10 Magna 1.1,2223.57,2010.0,1086.0,Third Party,Manual,60000.0,Second Owner,Petrol,5.0,19.81 kmpl,Hatchback,Agra,2010.0,20k-60k,68.0,19.81,kmpl,3.2753194486452664
2016 Maruti Eeco 7 Seater Standard BSIV,4113.6,2016.0,1196.0,Third Party,Manual,20000.0,First Owner,Petrol,7.0,15.37 kmpl,Minivans,Agra,2016.0,0-20k,73.0,15.370000000000001,kmpl,3.34836425909672
2014 Honda Amaze E i-Vtech,3668.89,2014.0,1198.0,Third Party,Manual,70000.0,First Owner,Petrol,5.0,18 kmpl,Sedan,Agra,2014.0,60k-100k,86.0,18.0,kmpl,3.3356687263162828
2018 Hyundai Xcent 1.2 VTVT SX,5280.97,2018.0,1197.0,Third Party,Manual,60000.0,Second Owner,Petrol,5.0,20.14 kmpl,Sedan,Agra,2018.0,20k-60k,81.0,20.14,kmpl,3.3747777248255977
2020 Maruti Ciaz Sigma BSIV,7626.84,2020.0,1462.0,Third Party,Manual,50000.0,Third Owner,Petrol,5.0,21.56 kmpl,Sedan,Agra,2020.0,20k-60k,103.0,21.56,kmpl,3.4105854697236317
2021 Hyundai Venue SX Opt Executive Diesel,13897.3,2021.0,1493.0,Third Party,Manual,60000.0,First Owner,Diesel,5.0,23.7 kmpl,SUV,Agra,2021.0,20k-60k,98.0,23.7,kmpl,3.4620143022838215
2021 Hyundai Venue SX Dual Tone Diesel BSIV,12229.62,2021.0,1396.0,Third Party,Manual,60000.0,First Owner,Diesel,5.0,23.7 kmpl,SUV,Agra,2021.0,20k-60k,89.0,23.7,kmpl,3.4517348494447653
2019 Maruti Alto K10 VXI AGS Optional,4391.55,2019.0,998.0,Third Party,Automatic,20000.0,First Owner,Petrol,5.0,23.95 kmpl,Hatchback,Agra,2019.0,0-20k,67.0,23.95,kmpl,3.3554479842845875
